match_sk,match_id,team1,team2,match_date,season_year,venue_name,city_name,country_name,toss_winner,match_winner,toss_name,win_type,outcome_type,manofmach,win_margin,country_id,match_date_cleaned
219,501248,Deccan Chargers,Delhi Daredevils,5/5/2011,2011,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Delhi Daredevils,Delhi Daredevils,Field,Wickets,Result,V Sehwag,4,1,2011-05-05
220,501249,Royal Challengers Bangalore,Kings Xi Punjab,5/6/2011,2011,M Chinnaswamy Stadium,Bangalore,India,Kings Xi Punjab,Royal Challengers Bangalore,Field,Runs,Result,Ch Gayle,85,1,2011-05-06
221,501250,Kolkata Knight Riders,Chennai Super Kings,5/7/2011,2011,Eden Gardens,Kolkata,India,Chennai Super Kings,Kolkata Knight Riders,Bat,Runs,Result,Iqbal Abdulla,10,1,2011-05-07
222,501251,Mumbai Indians,Delhi Daredevils,5/7/2011,2011,Wankhede Stadium,Mumbai,India,Delhi Daredevils,Mumbai Indians,Field,Runs,Result,At Rayudu,32,1,2011-05-07
223,501252,Royal Challengers Bangalore,Kochi Tuskers Kerala,5/8/2011,2011,M Chinnaswamy Stadium,Bangalore,India,Kochi Tuskers Kerala,Royal Challengers Bangalore,Bat,Wickets,Result,Ch Gayle,9,1,2011-05-08
224,501253,Kings Xi Punjab,Pune Warriors,5/8/2011,2011,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Kings Xi Punjab,Pune Warriors,Bat,Wickets,Result,R Sharma,5,1,2011-05-08
225,501254,Rajasthan Royals,Chennai Super Kings,5/9/2011,2011,Sawai Mansingh Stadium,Jaipur,India,Rajasthan Royals,Chennai Super Kings,Field,Runs,Result,M Vijay,63,1,2011-05-09
226,501255,Deccan Chargers,Pune Warriors,5/10/2011,2011,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Deccan Chargers,Pune Warriors,Bat,Wickets,Result,Mr Marsh,6,1,2011-05-10
227,501256,Kings Xi Punjab,Mumbai Indians,5/10/2011,2011,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Mumbai Indians,Kings Xi Punjab,Field,Runs,Result,Ba Bhatt,76,1,2011-05-10
228,501257,Rajasthan Royals,Royal Challengers Bangalore,5/11/2011,2011,Sawai Mansingh Stadium,Jaipur,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Wickets,Result,S Aravind,9,1,2011-05-11
229,501258,Chennai Super Kings,Delhi Daredevils,5/12/2011,2011,"Ma Chidambaram Stadium, Chepauk",Chennai,India,Chennai Super Kings,Chennai Super Kings,Bat,Runs,Result,Ms Dhoni,18,1,2011-05-12
230,501259,Kochi Tuskers Kerala,Kings Xi Punjab,5/13/2011,2011,Holkar Cricket Stadium,Indore,India,Kings Xi Punjab,Kings Xi Punjab,Field,Wickets,Result,Kd Karthik,6,1,2011-05-13
231,501260,Royal Challengers Bangalore,Kolkata Knight Riders,5/14/2011,2011,M Chinnaswamy Stadium,Bangalore,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Wickets,Result,Ch Gayle,4,1,2011-05-14
232,501261,Mumbai Indians,Deccan Chargers,5/14/2011,2011,Wankhede Stadium,Mumbai,India,Deccan Chargers,Deccan Chargers,Bat,Runs,Result,A Mishra,10,1,2011-05-14
233,501262,Kings Xi Punjab,Delhi Daredevils,5/15/2011,2011,Himachal Pradesh Cricket Association Stadium,Dharamsala,India,Delhi Daredevils,Kings Xi Punjab,Field,Runs,Result,Pp Chawla,29,1,2011-05-15
234,501263,Kochi Tuskers Kerala,Rajasthan Royals,5/15/2011,2011,Holkar Cricket Stadium,Indore,India,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Field,Wickets,Result,Bj Hodge,8,1,2011-05-15
235,501264,Pune Warriors,Deccan Chargers,5/16/2011,2011,Dr Dy Patil Sports Academy,Mumbai,India,Deccan Chargers,Deccan Chargers,Field,Wickets,Result,A Mishra,6,1,2011-05-16
236,501265,Kings Xi Punjab,Royal Challengers Bangalore,5/17/2011,2011,Himachal Pradesh Cricket Association Stadium,Dharamsala,India,Kings Xi Punjab,Kings Xi Punjab,Bat,Runs,Result,Ac Gilchrist,111,1,2011-05-17
237,501266,Chennai Super Kings,Kochi Tuskers Kerala,5/18/2011,2011,"Ma Chidambaram Stadium, Chepauk",Chennai,India,Chennai Super Kings,Chennai Super Kings,Bat,Runs,Result,Wp Saha,11,1,2011-05-18
238,501267,Pune Warriors,Kolkata Knight Riders,5/19/2011,2011,Dr Dy Patil Sports Academy,Mumbai,India,Kolkata Knight Riders,Kolkata Knight Riders,Field,Wickets,Result,Yk Pathan,7,1,2011-05-19
239,501268,Mumbai Indians,Rajasthan Royals,5/20/2011,2011,Wankhede Stadium,Mumbai,India,Mumbai Indians,Rajasthan Royals,Bat,Wickets,Result,Sr Watson,10,1,2011-05-20
240,501269,Kings Xi Punjab,Deccan Chargers,5/21/2011,2011,Himachal Pradesh Cricket Association Stadium,Dharamsala,India,Kings Xi Punjab,Deccan Chargers,Field,Runs,Result,S Dhawan,82,1,2011-05-21
241,501270,Delhi Daredevils,Pune Warriors,5/21/2011,2011,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Null,Bat,No Result,No Result,Null,,1,2011-05-21
242,501271,Royal Challengers Bangalore,Chennai Super Kings,5/22/2011,2011,M Chinnaswamy Stadium,Bangalore,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Wickets,Result,Ch Gayle,8,1,2011-05-22
243,501272,Kolkata Knight Riders,Mumbai Indians,5/22/2011,2011,Eden Gardens,Kolkata,India,Mumbai Indians,Mumbai Indians,Field,Wickets,Result,Jec Franklin,5,1,2011-05-22
244,501273,Royal Challengers Bangalore,Chennai Super Kings,5/24/2011,2011,Wankhede Stadium,Mumbai,India,Chennai Super Kings,Chennai Super Kings,Field,Wickets,Result,Sk Raina,6,1,2011-05-24
245,501274,Mumbai Indians,Kolkata Knight Riders,5/25/2011,2011,Wankhede Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,Field,Wickets,Result,Mm Patel,4,1,2011-05-25
246,501275,Royal Challengers Bangalore,Mumbai Indians,5/27/2011,2011,"Ma Chidambaram Stadium, Chepauk",Chennai,India,Mumbai Indians,Royal Challengers Bangalore,Field,Runs,Result,Ch Gayle,43,1,2011-05-27
247,501276,Chennai Super Kings,Royal Challengers Bangalore,5/28/2011,2011,"Ma Chidambaram Stadium, Chepauk",Chennai,India,Chennai Super Kings,Chennai Super Kings,Bat,Runs,Result,M Vijay,58,1,2011-05-28
248,548311,Chennai Super Kings,Mumbai Indians,4/4/2012,2012,"Ma Chidambaram Stadium, Chepauk",Chennai,India,Mumbai Indians,Mumbai Indians,Field,Wickets,Result,Re Levi,8,1,2012-04-04
249,548312,Kolkata Knight Riders,Delhi Daredevils,4/5/2012,2012,Eden Gardens,Kolkata,India,Delhi Daredevils,Delhi Daredevils,Field,Wickets,Result,Ik Pathan,8,1,2012-04-05
250,548313,Mumbai Indians,Pune Warriors,4/6/2012,2012,Wankhede Stadium,Mumbai,India,Mumbai Indians,Pune Warriors,Field,Runs,Result,Spd Smith,28,1,2012-04-06
251,548314,Rajasthan Royals,Kings Xi Punjab,4/6/2012,2012,Sawai Mansingh Stadium,Jaipur,India,Kings Xi Punjab,Rajasthan Royals,Field,Runs,Result,Am Rahane,31,1,2012-04-06
252,548315,Royal Challengers Bangalore,Delhi Daredevils,4/7/2012,2012,M Chinnaswamy Stadium,Bangalore,India,Delhi Daredevils,Royal Challengers Bangalore,Field,Runs,Result,Ab De Villiers,20,1,2012-04-07
253,548316,Deccan Chargers,Chennai Super Kings,4/7/2012,2012,Dr. Y.s. Rajasekhara Reddy Aca-vdca Cricket Stadium,Visakhapatnam,India,Deccan Chargers,Chennai Super Kings,Field,Runs,Result,Ra Jadeja,74,1,2012-04-07
254,548317,Rajasthan Royals,Kolkata Knight Riders,4/8/2012,2012,Sawai Mansingh Stadium,Jaipur,India,Kolkata Knight Riders,Rajasthan Royals,Field,Runs,Result,Bj Hodge,22,1,2012-04-08
255,548318,Pune Warriors,Kings Xi Punjab,4/8/2012,2012,Subrata Roy Sahara Stadium,Pune,India,Pune Warriors,Pune Warriors,Bat,Runs,Result,Mn Samuels,22,1,2012-04-08
256,548319,Deccan Chargers,Mumbai Indians,4/9/2012,2012,Dr. Y.s. Rajasekhara Reddy Aca-vdca Cricket Stadium,Visakhapatnam,India,Deccan Chargers,Mumbai Indians,Bat,Wickets,Result,Rg Sharma,5,1,2012-04-09
257,548320,Royal Challengers Bangalore,Kolkata Knight Riders,4/10/2012,2012,M Chinnaswamy Stadium,Bangalore,India,Royal Challengers Bangalore,Kolkata Knight Riders,Field,Runs,Result,L Balaji,42,1,2012-04-10
258,548321,Delhi Daredevils,Chennai Super Kings,4/10/2012,2012,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Delhi Daredevils,Field,Wickets,Result,M Morkel,8,1,2012-04-10
259,548322,Mumbai Indians,Rajasthan Royals,4/11/2012,2012,Wankhede Stadium,Mumbai,India,Rajasthan Royals,Mumbai Indians,Field,Runs,Result,Ka Pollard,27,1,2012-04-11
260,548323,Chennai Super Kings,Royal Challengers Bangalore,4/12/2012,2012,"Ma Chidambaram Stadium, Chepauk",Chennai,India,Royal Challengers Bangalore,Chennai Super Kings,Bat,Wickets,Result,F Du Plessis,5,1,2012-04-12
261,548324,Kings Xi Punjab,Pune Warriors,4/12/2012,2012,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Kings Xi Punjab,Kings Xi Punjab,Field,Wickets,Result,Ad Mascarenhas,7,1,2012-04-12
262,548325,Kolkata Knight Riders,Rajasthan Royals,4/13/2012,2012,Eden Gardens,Kolkata,India,Rajasthan Royals,Kolkata Knight Riders,Bat,Wickets,Result,Shakib Al Hasan,5,1,2012-04-13
